
ID;Cliente;Pto;Eta;Nave;Contenedor;Status;Sello;Med;Carga;PESO TOTAL;Terminal;Fecha Liberaci�n;Hora Liberaci�n;Fecha programaci�n;Hora Programaci�n;FECHA ARRIBO EN CD;Hora;CD;FechaDesg. (WHATSAPP/ Otawero);HoraDesg;FechaDev;EIR;Agencia;CiaNaviera / LINEA;DepDev;DiasLibres;DEMURRAGE;Sobrestadia Regi�n (x ciclo 2 horas);Sobreestadia (x ciclo de 4 hora);Description;Almc;Dias extras de almacenaje;E.CHASIS;TipodeServicio;ServicioAdicional;OBS 1;OBS 2;SERVICIO DIRECTO;FECHA ACT;HORA ACT;;;;;NAVES CON CONSIDERACI�N;;;;;;;;;;;;;;
31;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 912782-9;FINALIZADO;M2748243;40 HC;4800;8300;STI;12-08-25;13:20;25/08/2025;10:00;25/08/2025;10:00;CD Puerto Madero;25/08/2025;12:00;25/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
32;WALMART;STI;09/08/2025;COSCO PACIFIC;TCLU 410258-6;FINALIZADO;M2748056;40 HC;4680;8180;STI;12-08-25;21:23;25/08/2025;12:00;25/08/2025;12:00;CD Puerto Madero;25/08/2025;15:00;25/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
33;WALMART;STI;09/08/2025;COSCO PACIFIC;TCLU 416755-0;FINALIZADO;M2744609;40 HC;4800;8300;STI;12-08-25;21:06;25/08/2025;7:00;25/08/2025;7:00;CD Puerto Madero;25/08/2025;9:00;25/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
34;WALMART;STI;09/08/2025;COSCO PACIFIC;TCLU 429420-0;FINALIZADO;M2748245;40 HC;4800;8300;STI;12-08-25;21:34;25/08/2025;12:00;25/08/2025;12:00;CD Puerto Madero;25/08/2025;15:00;25/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;CAR CLEANING PRODUCTS;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
35;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 828244-0;FINALIZADO;M2748001;40 HC;23896;27396;STI;12-08-25;21:12;14/08/2025;5:00;13/08/2025;22:18;CD El Pe��n;14/08/2025;5:00;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;GLASSWARE;2;-8;0;Indirecto Deposito;SOBREPESO;;;;;;;;;;;;;;;;;;;;;;;;
36;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 831506-1;FINALIZADO;M2748008;40 HC;25253;28753;STI;12-08-25;21:12;14/08/2025;13:00;14/08/2025;12:23;CD El Pe��n;14/08/2025;19:00;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;14/09/2025;;;GLASSWARE;2;-8;0;Indirecto Deposito;SOBREPESO + DEVOLUCION DIA SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
37;WALMART;STI;09/08/2025;COSCO PACIFIC;TGHU 521976-6;FINALIZADO;M2748083;40 HC;18903;22403;STI;12-08-25;21:04;25/08/2025;10:00;25/08/2025;10:00;CD Puerto Madero;25/08/2025;12:00;25/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;15/08/2025;;;GLASSWARE;13;3;0;Indirecto Deposito;DIA ADICIONAL DE ALMACENAJE(3);;;;;;;;;;;;;;;;;;;;;;;;
38;WALMART;STI;09/08/2025;COSCO PACIFIC;CGMU 530005-0;FINALIZADO;M0881836;40 HR ;5512,5;9013;STI;12-08-25;16:02;14/08/2025;17:00;14/08/2025;15:46;CD El Pe��n;14/08/2025;17:30;16/08/2025;SI;SERRANO;CMA-CGM;Tercop Walmart;6;14/09/2025;;;HALLOWEEN DECOR;2;-8;0;Indirecto Deposito;DEVOLUCION DIA SIGUIENTE;;REEFER NO OPERATIVO;;;;;;;;;;;;;;;;;;;;;;
39;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 283218-0;FINALIZADO;M1111985;20 ST;8303,5;11804;STI;12-08-25;20:42;14/08/2025;15:00;14/08/2025;12:38;CD El Pe��n;14/08/2025;19:00;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;HALLOWEEN DECOR;2;-8;0;Indirecto Deposito;DEVOLUCION DIA SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
40;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 854879-9;FINALIZADO;M0890172;40 HC;7679,5;11180;STI;12-08-25;16:00;14/08/2025;9:00;13/08/2025;21:57;CD El Pe��n;14/08/2025;1:00;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;HALLOWEEN DECOR;2;-8;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
